Single Family Residential,117 Cedar Ln,Roanoke,76201,325000,3,2.5,Green Acres Estates Sec 2,2330,7579,2017,112,139,0
Single Family Residential,117 Jessica Dr,Aledo,76008,545000,4,3.5,Highland Ranch Estate Ph 2,3750,90039,2006,115,145,0
Single Family Residential,117 Sw Brushy Mound Rd,Burleson,76028,269900,4,2.5,Browns Mountain,2956,10977,1991,54,91,0
Single Family Residential,11700 Cottontail Dr,Fort Worth,76244,169000,3,2,Villages Of Woodland Spgs W,1408,4400,2003,1,120,82
Single Family Residential,11704 Cloveridge Dr,Fort Worth,76244,299900,4,2.5,Villages Of Woodland Spgs,2824,7144,2003,13,106,41
Single Family Residential,11708 Latania Ln,Fort Worth,76244,239900,4,2.5,Villages Of Woodland Spgs,2445,3703,2001,13,98,33
Single Family Residential,11713 Basilwood Dr,Fort Worth,76244,274900,4,2.5,Villages Of Woodland Spgs,2581,5750,2008,67,107,41
Single Family Residential,1173 Roping Reins Way,Fort Worth,76052,235000,4,2,Sendera Ranch,1931,7579,2017,4,122,46
Single Family Residential,11732 Wild Pear Ln,Fort Worth,76244,290000,5,3,Villages Of Woodland Spgs,2642,5750,2008,4,110,41
Single Family Residential,11736 Netleaf Ln,Fort Worth,76244,239995,3,2.5,Villages Of Woodland Spgs,2236,5489,2005,25,107,41
Single Family Residential,118 Lakeway Ln,Justin,76247,239900,4,2.5,Reatta Ridge Add,2107,7492,2001,2,114,25
Single Family Residential,1180 Kachina Ln,Fort Worth,76052,200000,4,2,Sendera Ranch,1816,5489,2006,6,110,0
Single Family Residential,11809 Warbler Ln,Fort Worth,76244,325000,5,4,Villages Of Woodland Spgs,3307,7710,2004,5,98,41
Single Family Residential,11825 Ponderosa Pine Dr,Fort Worth,76244,219950,4,2,Villages Of Woodland Spgs,2111,8712,2002,4,104,38
Single Family Residential,11832 Sundog Way,Fort Worth,76244,289900,4,2.5,Villages Of Woodland Spgs W,2827,7362,2010,6,103,41
Single Family Residential,11833 Indian Pony Way,Fort Worth,76244,298500,4,2.5,Villages Of Woodland Spgs W,2476,8407,2009,66,121,41
Single Family Residential,11836 Hickory Cir,Fort Worth,76244,235000,4,2.5,Villages Of Woodland Spgs,2254,5750,2001,56,104,38
Single Family Residential,11901 Cisco Ct,Fort Worth,76108,354900,5,3,Live Oak Creek,3436,12632,2009,74,103,58
Single Family Residential,11940 Vienna Apple Rd,Fort Worth,76244,248900,3,2,Villages Of Woodland Spgs,2065,6534,2006,75,121,41
Single Family Residential,120 Ranchway Dr,Burleson,76028,649900,4,4.5,Willow Creek Ranch,4254,561924,2001,1,153,44
Single Family Residential,1200 Roping Reins Way,Fort Worth,76052,235000,4,2,Sendera Ranch,1931,6011,2017,4,122,46
Single Family Residential,12000 Ringtail Dr,Fort Worth,76244,259900,3,2,Villages Of Woodland Spgs W,2167,6098,2004,9,120,41
Single Family Residential,1201 Clairemont Ln,Burleson,76028,250000,4,2,West Bend North Add,2475,10454,2009,55,101,24
Single Family Residential,1201 Johnson Rd,Keller,76248,895000,4,3.5,Windy Acres,4087,41643,2011,13,219,0
Single Family Residential,1201 Saltgrass Dr,Crowley,76036,199999,5,2.5,Lasater Ranch,3050,9975,2005,46,66,10
Single Family Residential,12017 Joplin Ln,Fort Worth,76108,295000,4,2.5,Live Oak Creek,2864,9148,2011,53,103,58
Single Family Residential,12028 Vienna Apple Rd,Fort Worth,76244,300000,5,3,Villages Of Woodland Spgs,3056,6970,2004,33,98,41
Single Family Residential,1203 Woodridge Cir,Euless,76040,315000,4,3,Morrisdale Addition,2927,13155,1961,1,108,0
Single Family Residential,12048 Yarmouth Ln,Fort Worth,76108,324000,4,2,Live Oak Creek,2810,10411,2013,61,115,58
Single Family Residential,1205 Gayle St,Burleson,76028,184900,4,2,Jm Wells Add,2085,5968,2007,18,89,23
Single Family Residential,1206 Saddle Trl,Willow Park,76087,334900,3,2,Saddle Ridge Estates,2524,14375,2005,11,133,33
Single Family Residential,1208 Fowler St,Keller,76248,375000,3,2,Keller Town Center Add,1613,4008,2011,1,232,100
Single Family Residential,1208 Pheasant Run Cir,Fort Worth,76131,249900,5,3.5,Lasater Addition,3564,8712,2006,267,70,33
Single Family Residential,1208 Scarlet Sage Pkwy,Burleson,76028,329900,5,3.5,Burleson Meadows,3916,15682,2004,22,84,0
Single Family Residential,1208 Sierra Blanca Dr,Fort Worth,76028,193000,3,2,Deer Meadow Add,1772,6011,2006,4,109,11
Single Family Residential,1209 E Ramsey Ave,Fort Worth,76104,79900,2,1,Vickery Southeast add,672,6011280,1948,1,119,0
Single Family Residential,1209 N Knowles Dr,Saginaw,76179,149900,4,2,Saginaw North Add,1457,7579,1980,117,103,0
Single Family Residential,12100 Longstone Dr,Burleson,76028,210000,4,2,Ashford Park,1800,7492,2007,4,117,33
Single Family Residential,12120 Lamington Dr,Fort Worth,76244,225000,3,2,Villages Of Woodland Spgs,1812,5750,2004,4,124,41
Single Family Residential,12120 Thicket Bend Dr,Fort Worth,76244,235000,4,2.5,Villages Of Woodland Spgs W,2085,5663,2006,6,113,41
Single Family Residential,1213 Haley Ln,Burleson,76028,239999,5,3,Jm Wells Add,3462,6011,2007,74,69,23
Single Family Residential,1213 Newcastle St,Roanoke,76262,445000,5,4.5,Briarwyck,4308,9714,2008,197,103,32
Single Family Residential,12144 Walden Wood Dr,Fort Worth,76244,249900,3,2.5,Villages Of Woodland Spgs W,2169,4530,2007,8,115,50
Single Family Residential,1216 Roping Reins Way,Fort Worth,76052,219900,3,2,Sendera Ranch,1749,6011,2010,5,126,41
Single Family Residential,12160 Bella Parco Dr,Fort Worth,76126,789000,4,4.5,Bella Flora,4445,56628,2017,39,178,63
Single Family Residential,12201 Langley Hill Dr,Fort Worth,76244,299900,5,3,Villages Of Woodland Spgs W,3251,7405,2005,67,92,40
Single Family Residential,1221 Roping Reins Way,Fort Worth,76052,209500,4,2,Sendera Ranch,1855,6578,2005,1,113,46
